Sl No,date,day,shift,coursecode,roomno,rollnolist
53,20-09-2025,Saturday,Morning,PH403,LT103,"2201EE27,2201EE33,2201EE35,2201EE36,2201EE37,2201EE41,2201EE42,2201EE46,2201EE48,2201EE51,2201EE52,2201EE53,2201EE56,2201EE59,2201EE60,2201EE64,2201EE65,2201EE67,2201EE68,2201EE70,2201EE71,2201EE73,2201EE75,2201EE77,2201EE78,2201EE79,2201EE80,2201EE84,2201EE86,2201EE88,2201EE89,2201EE92,2201EE94,2201EE97,2201EE99,2201MC03,2201MC06,2201MC09,2201MC15,2201MC16,2201MC20,2201MC24,2201MC28,2201MC32,2201MC33,2201MC34,2201MC47,2201MC48,2201MC49,2201MC51,2201MC55,2201MC56,2201MC57,2201MC58,2201MC59,2201ME06,2201ME12,2201ME15,2201ME17,2201ME19,2201ME21,2201ME22,2201ME23,2201ME29,2201ME31,2201ME32,2201ME33,2201ME34,2201ME37,2201ME39,"
54,20-09-2025,Saturday,Morning,PH403,LT101,"2201ME43,2201ME45,2201ME49,2201ME52,2201ME53,2201ME63,2201ME70,2201ME73,2201ME76,2201ME80,2201ME84,2201ME85,2201ME87,2201MM04,2201MM06,2201MM23,2201MM24,2201MM27,2201MM29,2201MM35,"
55,20-09-2025,Saturday,Morning,CS6112,LT101,"2521CS14,2521CS15,2521CS17,2521CS19,2521CS24,2521CS27,2521CS28,"
56,20-09-2025,Saturday,Morning,CB2102,102,"2401MC54,2403CB01,2403CB02,2403CB03,2403CB04,"
57,20-09-2025,Saturday,Morning,CH2104,102,"2403CT01,2403CT02,2403CT03,2403CT04,2403CT05,"
58,20-09-2025,Saturday,Morning,EC3103,308,"2302VL08,2302VL09,2302VL10,2302VL11,"
59,21-09-2025,Sunday,Morning,PH6103,102,"2412CH02,2412CH03,2412CH04,2412CH05,2412CH07,2412CH08,2412CH09,2412CH10,2412CH11,2412CH12,2412CH13,2412CH14,2412CH15,2412CH19,2412CH20,2412CH21,2412CH22,2412CH23,2412CH24,2412CH25,2412CH26,2412CH27,2412CH28,2412CH30,2412MA01,2412MA02,2412MA04,2412MA05,2412MA07,2412MA08,2412MA09,2412MA10,2412MA11,2412MA12,2412MA13,2412MA14,2412MA15,2412MA16,2412MA17,2412MA18,2412MA19,2412MA20,2412MA21,2412MA23,2412MA25,"
60,21-09-2025,Sunday,Morning,EP401,102,"2201PH01,2201PH02,2201PH03,2201PH05,2201PH06,2201PH09,2201PH10,2201PH11,2201PH12,2201PH13,2201PH14,2201PH15,2201PH16,2201PH17,2201PH18,2201PH19,2201PH20,2201PH21,2201PH22,2201PH23,2201PH24,2201PH25,2201PH26,2201PH27,2201PH28,2201PH29,2201PH31,2201PH32,2201PH34,2201PH35,"
61,21-09-2025,Sunday,Morning,CE543,104,"2201CE02,2201CE03,2201CE04,2201CE05,2201CE06,2201CE08,2201CE09,2201CE10,2201CE11,2201CE12,2201CE14,2201CE15,2201CE16,2201CE17,2201CE18,2201CE19,2201CE20,2201CE21,2201CE22,2201CE23,2201CE24,2201CE25,2201CE26,2201CE27,2201CE28,2201CE29,2201CE31,2201CE32,2201CE33,2201CE34,2201CE35,2201CE37,2201CE38,2201CE39,2201CE41,2201CE42,2201CE44,2201CE45,2201CE46,2201CE47,2201CE48,2201CE49,2201CE50,2201CE51,2201CE52,2201CE53,2201CE54,2201CE55,2201CE56,2201CE57,2201CE58,2201CE59,2201CE60,2201CE61,2201CE62,2201CE63,2201CE64,2201CE68,2201CE69,"
62,21-09-2025,Sunday,Morning,EC3101,104,"2301EC02,2301EC03,2301EC05,2301EC06,2301EC07,2301EC08,2301EC09,2301EC10,2301EC11,2301EC12,"
63,21-09-2025,Sunday,Morning,CB401,107,"2201CB01,2201CB02,2201CB03,2201CB04,2201CB05,2201CB06,2201CB07,2201CB08,2201CB09,2201CB11,2201CB14,2201CB15,2201CB16,2201CB18,2201CB19,2201CB20,2201CB21,2201CB22,2201CB23,2201CB24,2201CB25,2201CB26,2201CB27,2201CB28,2201CB29,2201CB30,2201CB31,2201CB33,2201CB34,2201CB35,2201CB36,2201CB37,2201CB38,2201CB40,2201CB41,2201CB42,2201CB43,2201CB44,2201CB46,2201CB47,2201CB49,2201CB50,2201CB52,2201CB53,2201CB54,2201CB55,2201CB56,2201CB57,2201CB58,2201CB59,2201CB60,2201CB61,2201CB62,2201CB63,2201CB65,2201CB66,2201CB67,2201CB68,2201CB70,"
64,21-09-2025,Sunday,Morning,EE483,107,"2201EE01,2201EE02,2201EE03,2201EE04,2201EE05,2201EE06,2201EE07,2201EE08,2201EE09,2201EE10,2201EE11,2201EE12,2201EE13,2201EE14,2201EE15,2201EE18,2201EE20,2201EE21,"
65,21-09-2025,Sunday,Morning,MM509,109,"2201MM01,2201MM02,2201MM03,2201MM04,2201MM05,2201MM06,2201MM07,2201MM08,2201MM09,2201MM10,2201MM11,2201MM12,2201MM13,2201MM14,2201MM15,2201MM16,2201MM17,2201MM18,2201MM19,2201MM20,2201MM23,2201MM24,2201MM25,2201MM26,2201MM27,2201MM29,2201MM30,2201MM33,2201MM34,2201MM35,2201MM36,2201MM37,2201MM38,2201MM39,2201MM40,"
66,21-09-2025,Sunday,Morning,MM5101,109,"2511MM01,2511MM04,2511MM05,2511MM06,2511MM09,"
67,21-09-2025,Sunday,Morning,CH6107,109,"2412MA22,2412MA24,2412PH01,2412PH03,2412PH04,2412PH06,2412PH07,2412PH08,2412PH09,2412PH10,2412PH11,2412PH12,2412PH13,2412PH14,2412PH15,2412PH16,2412PH17,2412PH18,2412PH20,2412PH21,2412PH22,2412PH23,2412PH24,"
68,21-09-2025,Sunday,Morning,EC6104,303,"2421EE24,2422EE05,2511CM01,2511CM02,2511CM03,2511CM04,2511CM05,"
69,21-09-2025,Sunday,Morning,EE5101,303,"2511PC01,2511PC02,2511PC04,"
70,21-09-2025,Sunday,Morning,ME2101,303,"2401AI56,2401CS88,2401CS94,2401EC58,2401EC59,2401MC52,2401MC55,2401MC58,2401ME01,2401ME04,2401ME05,2401ME06,2401ME07,2401ME08,2401ME09,"
71,21-09-2025,Sunday,Morning,ME5101,303,"2511AM01,2511AM02,2511AM03,2511AM04,2511AM05,2511AM06,2511AM07,2511AM08,2511MD01,2511MD02,2511MD03,"
72,21-09-2025,Sunday,Morning,ME2101,308,"2401ME11,2401ME12,2401ME13,2401ME14,2401ME15,2401ME16,2401ME17,2401ME20,2401ME21,2401ME22,2401ME23,2401ME24,2401ME25,2401ME26,2401ME27,2401ME28,2401ME29,2401ME30,2401ME31,2401ME32,2401ME33,2401ME34,2401ME35,2401ME36,2401ME37,2401ME38,2401ME39,2401ME41,2401ME42,2401ME43,2401ME44,2401ME45,2401ME46,2401ME48,2401ME49,2401ME50,2401ME51,2401ME52,2401ME53,2401ME55,"
73,21-09-2025,Sunday,Morning,ME5101,308,"2511MD04,2511MD05,2511MD06,2511MD07,2511MD08,2511MD09,2511MD11,2511MD12,2511MD13,2511MD14,2511MD15,2511MT01,2511MT02,2511MT03,2511MT04,2511MT05,2511MT06,2511MT07,2511MT08,2511MT09,2511MT10,2511MT11,2511MT12,2511MT13,2511MT14,2511MT15,2511MT16,2511MT17,2511MT18,2511TF01,2511TF02,2511TF03,2511TF04,2511TF05,2511TF06,2511TF08,2511TF09,2511TF10,2511TF11,2511TF12,"
74,21-09-2025,Sunday,Morning,CS603,502,"2201AI01,2201AI02,2201AI03,2201AI04,2201AI05,2201AI07,2201AI08,2201AI09,2201AI10,2201AI11,2201AI12,2201AI13,2201AI14,2201AI15,2201AI16,2201AI17,2201AI18,2201AI19,2201AI20,2201AI21,2201AI22,2201AI24,2201AI25,2201AI26,2201AI27,2201AI28,2201AI29,2201AI30,2201AI31,2201AI31,2201AI32,2201AI33,2201AI33,2201AI34,2201AI35,2201AI36,2201AI36,2201AI37,2201AI38,2201AI39,2201AI40,2201AI41,2201AI42,2201AI43,2201AI44,2201AI45,2201AI46,2201AI47,2201AI48,2201AI49,2201AI50,2201AI51,2201AI52,2201AI53,2201AI53,2201AI54,2201AI55,2201AI56,2201AI57,2201AI57,2201CS01,2201CS02,2201CS03,2201CS04,2201CS05,2201CS06,2201CS07,2201CS08,2201CS10,2201CS11,2201CS12,2201CS13,2201CS14,2201CS15,2201CS16,2201CS17,2201CS18,2201CS19,2201CS20,2201CS21,2201CS22,2201CS23,2201CS24,2201CS25,2201CS27,"
75,21-09-2025,Sunday,Morning,CS603,LT001,"2201CS28,2201CS29,2201CS30,2201CS31,2201CS32,2201CS33,2201CS34,2201CS35,2201CS36,2201CS37,2201CS38,2201CS39,2201CS40,2201CS41,2201CS42,2201CS43,2201CS44,2201CS45,2201CS46,2201CS47,2201CS48,2201CS49,2201CS50,2201CS51,2201CS52,2201CS53,2201CS54,2201CS55,2201CS56,2201CS57,2201CS58,2201CS59,2201CS60,2201CS61,2201CS62,2201CS63,2201CS64,2201CS65,2201CS66,2201CS67,2201CS68,2201CS69,2201CS70,2201CS71,2201CS72,2201CS73,2201CS74,2201CS75,2201CS76,2201CS77,"
76,21-09-2025,Sunday,Morning,ME431,LT001,"2201ME01,2201ME02,2201ME03,2201ME04,2201ME05,2201ME06,2201ME07,2201ME08,2201ME10,2201ME11,2201ME12,2201ME13,2201ME14,2201ME15,2201ME16,2201ME17,2201ME18,2201ME19,2201ME20,2201ME21,2201ME22,2201ME23,2201ME24,2201ME25,2201ME26,2201ME27,2201ME29,2201ME30,2201ME31,2201ME32,2201ME33,2201ME34,2201ME35,2201ME36,2201ME37,2201ME38,2201ME39,2201ME40,2201ME41,2201ME42,2201ME43,2201ME44,2201ME45,2201ME46,2201ME47,2201ME48,2201ME49,2201ME50,2201ME51,2201ME52,"
77,21-09-2025,Sunday,Morning,ME2101,LT003,"2401ME56,2401ME57,2401ME58,2401ME59,2401ME60,2401ME61,2401ME62,2401ME63,2401ME64,2401ME65,2401ME66,2401ME67,2401ME68,2401ME69,2401ME70,2401ME71,2401ME72,2401ME73,2401ME74,2401ME75,2401ME76,2401ME77,2401ME78,2401ME79,2401ME81,2401ME82,2402MC12,2402MT01,2402MT02,2402MT04,2402MT05,2402MT06,2402MT07,2402MT08,2402MT09,2403ME01,2403ME02,2403ME03,2403ME04,2403ME05,2403ME06,2403ME07,2403ME08,2403ME09,2403ME10,2403ME11,2403ME12,2403ME13,2403ME14,2403ME15,"
78,21-09-2025,Sunday,Morning,ME431,LT003,"2201ME53,2201ME54,2201ME55,2201ME58,2201ME59,2201ME60,2201ME61,2201ME62,2201ME63,2201ME65,2201ME67,2201ME68,2201ME69,2201ME70,2201ME71,2201ME72,2201ME73,2201ME76,2201ME78,2201ME80,2201ME81,2201ME83,2201ME84,2201ME85,2201ME87,"
79,21-09-2025,Sunday,Morning,EC3101,LT101,"2301EC13,2301EC14,2301EC15,2301EC16,2301EC17,2301EC18,2301EC19,2301EC20,2301EC21,2301EC21,2301EC22,2301EC23,2301EC24,2301EC25,2301EC26,2301EC27,2301EC28,2301EC29,2301EC30,2301EC31,2301EC32,2301EC33,2301EC34,2301EC35,2301EC36,2301EC37,2301EC38,2301EC39,2301EC40,2301EC41,2301EC42,2301EC44,2301EC45,2301EC47,2301EC48,2301EC49,2301EC50,2301EC51,2301EC52,2301EC53,2301EC54,2301EC55,2301EC56,2301EC57,2301EC58,2301EC59,2301EC60,2301EE01,2301EE02,2301EE03,"
80,21-09-2025,Sunday,Morning,EC3101,LT103,"2301EE04,2301EE05,2301EE06,2301EE08,2301EE09,2301EE11,2301EE12,2301EE14,2301EE15,2301EE16,2301EE17,2301EE18,2301EE20,2301EE22,2301EE24,2301EE25,2301EE26,2301EE27,2301EE28,2301EE30,2301EE32,2301EE33,2301EE34,2301EE36,2301EE38,2301EE39,2301EE40,2301EE41,2301EE42,2301EE43,2301EE44,2301EE46,2301EE47,2301EE48,2301EE49,2301EE50,2301EE51,2301EE52,2301EE53,2301EE54,2301EE55,2301EE56,2301EE57,2301EE58,2301EE59,2301EE60,2301EE61,2302CM01,2302CM02,2302CM03,2302CM04,2302CM05,2302CM06,2302CM07,2302CM08,2302CM09,2302PC02,2302PC03,2302PC04,2302PC06,2302PC07,2302PC08,2302PC09,2302PC10,2302VL01,2302VL02,2302VL03,2302VL04,2302VL05,2302VL06,2302VL07,2302VL08,2302VL09,2302VL10,2302VL11,"
81,21-09-2025,Sunday,Morning,EE483,LT103,"2201EE22,2201EE23,2201EE24,2201EE25,2201EE26,2201EE27,2201EE28,2201EE29,2201EE31,2201EE32,2201EE33,2201EE34,2201EE35,2201EE36,2201EE37,2201EE38,2201EE39,2201EE40,2201EE41,2201EE42,2201EE43,2201EE45,2201EE46,2201EE47,2201EE48,2201EE49,2201EE50,2201EE51,2201EE52,2201EE53,2201EE54,2201EE55,2201EE56,2201EE57,2201EE58,2201EE59,2201EE60,2201EE61,2201EE63,2201EE64,2201EE65,2201EE66,2201EE67,2201EE68,2201EE69,2201EE70,2201EE71,2201EE72,2201EE73,2201EE74,2201EE75,2201EE76,2201EE77,2201EE78,2201EE79,2201EE80,2201EE81,2201EE82,2201EE83,2201EE84,2201EE85,2201EE86,2201EE87,2201EE88,2201EE89,2201EE90,2201EE91,2201EE92,2201EE93,2201EE94,2201EE95,2201EE96,2201EE97,2201EE98,2201EE99,"
82,21-09-2025,Sunday,Evening,CS1101,102,"2501AI01,2501AI02,2501AI03,2501AI04,2501AI05,2501AI06,2501AI07,2501AI08,2501AI09,2501AI10,2501AI11,2501AI12,2501AI13,2501AI14,2501AI15,2501AI16,2501AI17,2501AI18,2501AI19,2501AI20,2501AI21,2501AI22,2501AI23,2501AI24,2501AI25,2501AI26,2501AI27,2501AI28,2501AI29,2501AI30,2501AI31,2501AI32,2501AI33,2501AI34,2501AI35,2501AI36,2501AI37,2501AI38,2501AI39,2501AI40,2501AI41,2501AI42,2501AI43,2501AI44,2501AI45,2501AI46,2501AI47,2501AI48,2501AI49,2501CB01,2501CB02,2501CB03,2501CB04,2501CB05,2501CB06,2501CB08,2501CB09,2501CB10,2501CB11,2501CB12,2501CB13,2501CB14,2501CB15,2501CB16,2501CB17,2501CB18,2501CB19,2501CB20,2501CB21,2501CB22,2501CB23,2501CB24,2501CB25,2501CB26,2501CB27,2501CB28,2501CB29,2501CB30,2501CB31,2501CB32,"
83,21-09-2025,Sunday,Evening,CS1101,104,"2501CB33,2501CB34,2501CB35,2501CB36,2501CB38,2501CB39,2501CB40,2501CB41,2501CB42,2501CB43,2501CB44,2501CB45,2501CB46,2501CB47,2501CB48,2501CB49,2501CB50,2501CB51,2501CB52,2501CB53,2501CB54,2501CB55,2501CB56,2501CB58,2501CB59,2501CB60,2501CB61,2501CB62,2501CB63,2501CB64,2501CB65,2501CE01,2501CE02,2501CE03,2501CE04,2501CE05,2501CE06,2501CE07,2501CE08,2501CE09,2501CE10,2501CE11,2501CE12,2501CE13,2501CE14,2501CE15,2501CE16,2501CE17,2501CE18,2501CE19,2501CE20,2501CE21,2501CE22,2501CE23,2501CE24,2501CE25,2501CE26,2501CE27,2501CE28,2501CE29,2501CE30,2501CE31,2501CE32,2501CE33,2501CE34,2501CE35,2501CE36,2501CE37,2501CE38,2501CE39,2501CE40,2501CE41,2501CE42,2501CE43,2501CE44,2501CE45,2501CE46,2501CE47,2501CE48,2501CE49,"
84,21-09-2025,Sunday,Evening,CS1101,107,"2501CE50,2501CE51,2501CE52,2501CE53,2501CE54,2501CE55,2501CE56,2501CE57,2501CE58,2501CE59,2501CE60,2501CE61,2501CE62,2501CE63,2501CE64,2501CE65,2501CE68,2501CE69,2501CS01,2501CS02,2501CS03,2501CS04,2501CS05,2501CS06,2501CS07,2501CS08,2501CS09,2501CS10,2501CS11,2501CS12,2501CS13,2501CS14,2501CS15,2501CS16,2501CS17,2501CS18,2501CS19,2501CS20,2501CS21,2501CS22,2501CS23,2501CS25,2501CS26,2501CS27,2501CS28,2501CS29,2501CS30,2501CS31,2501CS32,2501CS33,2501CS34,2501CS35,2501CS36,2501CS37,2501CS38,2501CS39,2501CS40,2501CS41,2501CS42,2501CS43,2501CS44,2501CS45,2501CS46,2501CS47,2501CS48,2501CS49,2501CS50,2501CS51,2501CS52,2501CS53,2501CS54,2501CS55,2501CS56,2501CS57,2501CS58,2501CS59,2501CS60,2501CS61,2501CS62,2501CS63,"
85,21-09-2025,Sunday,Evening,CS1101,109,"2501CS64,2501CS65,2501CS66,2501CS67,2501CS68,2501CS69,2501CS70,2501CS71,2501CS72,2501CS73,2501CS74,2501CS75,2501CS76,2501CS77,2501CS78,2501CS79,2501CS80,2501CS81,2501CS82,2501CS83,2501CS84,2501CS85,2501CS86,2501CS87,2501CS88,2501CS89,2501CT01,2501CT02,2501CT03,2501CT04,2501CT05,2501CT06,2501CT07,2501CT08,2501CT09,2501CT10,2501CT11,2501CT12,2501CT13,2501CT14,2501CT15,2501CT16,2501CT17,2501CT18,2501CT19,2501CT20,2501CT21,2501CT22,2501CT23,2501CT24,2501CT25,2501CT26,2501CT27,2501CT28,2501CT29,2501CT30,2501CT31,2501CT32,2501CT33,2501CT35,2501CT36,2501EC01,2501EC02,2501EC03,2501EC04,2501EC05,2501EC06,2501EC07,2501EC08,2501EC09,2501EC10,2501EC11,2501EC12,2501EC13,2501EC14,2501EC15,2501EC16,2501EC17,2501EC18,2501EC19,"
86,21-09-2025,Sunday,Evening,CE3103,303,"2301CE02,2301CE03,2301CE04,2301CE05,2301CE06,2301CE08,2301CE09,2301CE10,2301CE11,2301CE12,2301CE14,2301CE15,2301CE16,2301CE17,2301CE18,2301CE19,2301CE20,2301CE21,2301CE22,2301CE23,2301CE24,2301CE25,2301CE26,2301CE27,2301CE28,2301CE29,2301CE30,2301CE33,2301CE34,2301CE35,2301CE36,2301CE37,2301CE38,2301CE39,2301CE40,2301CE41,2301CE42,2301CE43,2301CE44,2301CE45,2301CE46,2301CE47,2301CE48,2301CE49,2301CE50,2301CE51,2301CE52,2301CE53,2301CE54,2301CE55,2301CE56,2301CE57,2301CE58,2301CE59,2301CE60,2301CE62,2301CE64,2301CE65,2301CE66,2301CE68,2301CE70,2302GT01,2302GT02,2302GT03,2302GT04,2302GT05,2302GT06,2302GT08,2302ST02,2302ST03,2302ST04,2302ST05,2302ST06,2302ST07,2302ST08,"
87,21-09-2025,Sunday,Evening,ME3105,308,"2301ME01,2301ME04,2301ME05,2301ME07,2301ME09,2301ME10,2301ME11,2301ME12,2301ME13,2301ME14,2301ME15,2301ME16,2301ME17,2301ME18,2301ME19,2301ME20,2301ME21,2301ME22,2301ME23,2301ME24,2301ME25,2301ME26,2301ME27,2301ME28,2301ME29,2301ME30,2301ME32,2301ME33,2301ME34,2301ME35,2301ME36,2301ME37,2301ME38,2301ME39,2301ME41,2301ME42,2301ME43,2301ME44,2301ME45,2301ME46,2301ME47,2301ME48,2301ME49,2301ME51,2301ME52,2301ME53,2301ME54,2301ME55,2301ME56,2301ME57,2301ME58,2301ME59,2301ME60,2301ME61,2301ME63,2301ME64,2301ME65,2301ME66,2301ME68,2301ME69,2301ME70,2301ME71,2301ME72,2301ME73,2301ME74,2301ME75,2301ME77,2301ME78,2301ME79,2301ME80,"
88,21-09-2025,Sunday,Evening,CS1101,501,"2501EC20,2501EC21,2501EC22,2501EC23,2501EC24,2501EC25,2501EC26,2501EC27,2501EC28,2501EC29,2501EC30,2501EC32,2501EC33,2501EC34,2501EC35,2501EC36,2501EC37,2501EC38,2501EC39,2501EC41,2501EC42,2501EC43,2501EC44,2501EC45,2501EC46,2501EC47,2501EC48,2501EC49,2501EC50,2501EE01,2501EE02,2501EE03,"
89,21-09-2025,Sunday,Evening,CS1101,502,"2501EE04,2501EE05,2501EE06,2501EE07,2501EE08,2501EE09,2501EE10,2501EE11,2501EE12,2501EE13,2501EE14,2501EE15,2501EE16,2501EE17,2501EE18,2501EE19,2501EE20,2501EE21,2501EE22,2501EE23,2501EE24,2501EE25,2501EE26,2501EE28,2501EE29,2501EE30,2501EE31,2501EE32,2501EE34,2501EE35,2501EE36,2501EE37,2501EE38,2501EE39,2501EE40,2501EE41,2501EE42,2501EE43,2501EE44,2501EE45,2501ES01,2501ES02,2501ES03,2501ES04,2501ES05,2501ES06,2501ES07,2501ES08,2501ES09,2501ES10,2501ES11,2501ES12,2501ES13,2501ES14,2501ES15,2501ES16,2501ES17,2501ES18,2501ES19,2501ES20,2501ES21,2501ES22,2501MC01,2501MC02,2501MC03,2501MC04,2501MC05,2501MC06,2501MC07,2501MC08,2501MC09,2501MC10,2501MC11,2501MC12,2501MC13,2501MC14,2501MC15,2501MC16,2501MC17,2501MC18,2501MC19,2501MC20,2501MC21,2501MC22,2501MC23,2501MC24,2501MC25,2501MC26,2501MC27,2501MC28,2501MC29,2501MC30,2501MC31,2501MC32,2501MC33,2501MC34,2501MC35,2501MC36,2501MC37,2501MC38,"
90,21-09-2025,Sunday,Evening,CS1101,LT001,"2501MC39,2501MC40,2501MC41,2501MC42,2501MC43,2501MC44,2501MC45,2501MC46,2501MC47,2501MC48,2501ME01,2501ME02,2501ME03,2501ME04,2501ME05,2501ME06,2501ME07,2501ME08,2501ME09,2501ME10,2501ME11,2501ME12,2501ME13,2501ME14,2501ME15,2501ME16,2501ME17,2501ME18,2501ME19,2501ME20,2501ME21,2501ME22,2501ME23,2501ME24,2501ME25,2501ME26,2501ME27,2501ME28,2501ME29,2501ME30,2501ME31,2501ME32,2501ME33,2501ME34,2501ME35,2501ME36,2501ME37,2501ME38,2501ME40,2501ME41,"
91,21-09-2025,Sunday,Evening,EP3103,LT001,"2301PH01,2301PH02,2301PH03,2301PH04,2301PH05,2301PH06,2301PH07,2301PH08,2301PH10,2301PH11,2301PH12,2301PH13,2301PH14,2301PH16,2301PH17,2301PH18,2301PH19,2301PH20,2301PH21,2301PH22,2301PH24,2301PH25,2301PH27,2301PH28,2301PH29,2301PH30,2301PH31,2301PH32,"
92,21-09-2025,Sunday,Evening,CB3101,LT001,"2301CB01,2301CB02,2301CB03,2301CB04,2301CB05,2301CB06,2301CB07,2301CB08,2301CB09,2301CB10,2301CB11,2301CB13,2301CB14,2301CB15,2301CB16,2301CB17,2301CB19,2301CB21,2301CB22,2301CB23,"
93,21-09-2025,Sunday,Evening,CS1101,LT002,"2501ME42,2501ME43,2501ME44,2501ME45,2501ME46,2501ME47,2501ME48,2501ME49,2501ME50,2501ME51,2501ME52,2501ME53,2501ME54,2501ME55,2501ME56,2501ME57,2501ME58,2501ME60,2501ME61,2501ME62,2501ME63,2501ME64,2501ME65,2501ME66,2501ME67,2501ME68,2501ME69,2501ME70,2501ME71,2501ME72,2501ME73,2501ME74,2501ME75,2501ME76,2501ME77,2501ME78,2501ME79,2501ME80,2501ME81,2501ME82,"
94,21-09-2025,Sunday,Evening,CB3101,LT002,"2301CB24,2301CB26,2301CB27,2301CB28,2301CB30,2301CB31,2301CB32,2301CB33,2301CB34,2301CB35,2301CB36,2301CB37,2301CB38,2301CB40,2301CB41,2301CB42,2301CB43,2301CB44,2301CB45,2301CB46,2301CB47,2301CB48,2301CB49,2301CB50,2301CB51,2301CB52,2301CB53,2301CB54,2301CB55,2301CB56,2301CB57,"
95,21-09-2025,Sunday,Evening,CB3101,LT002,"2301CB58,2301CB59,2301CB61,2301CB62,2301CB63,2301CB64,2301CB65,2301CB66,2301CB67,"
96,21-09-2025,Sunday,Evening,CS1101,LT003,"2501ME83,2501MM01,2501MM02,2501MM04,2501MM05,2501MM06,2501MM07,2501MM08,2501MM09,2501MM10,2501MM11,2501MM12,2501MM13,2501MM14,2501MM15,2501MM16,2501MM17,2501MM18,2501MM19,2501MM20,2501MM21,2501MM22,2501MM23,2501MM24,2501MM25,2501MM26,2501MM27,2501MM28,2501MM29,2501MM30,2501MM31,2501MM32,2501MM33,2501MM34,2501MM35,2501MM36,2501MM37,2501MM38,2501MM39,2501MM40,2501MM41,2501MM42,2501MM43,2501PH01,2501PH02,2501PH03,2501PH04,2501PH05,2501PH06,2501PH07,2501PH08,2501PH09,2501PH10,2501PH11,2501PH12,2501PH13,2501PH14,2501PH15,2501PH16,2501PH17,2501PH18,2501PH19,2501PH20,2501PH21,2501PH22,2501PH23,2501PH24,2501PH25,2501PH26,2501PH27,2501PH28,2501PH29,2501PH30,2501PH31,2501PH32,"
97,21-09-2025,Sunday,Evening,CS3101,LT003,"2301AI01,2301AI02,2301AI03,2301AI04,2301AI05,2301AI06,2301AI07,2301AI08,2301AI09,2301AI10,2301AI11,2301AI12,2301AI13,2301AI14,2301AI15,2301AI16,2301AI17,2301AI18,2301AI19,2301AI20,2301AI21,2301AI22,2301AI23,2301AI24,2301AI25,2301AI26,2301AI28,2301AI29,2301AI30,2301AI31,2301AI32,2301AI33,2301AI34,2301AI35,2301AI36,2301AI38,2301AI39,2301AI40,2301AI41,2301AI42,2301AI43,2301AI44,2301AI45,2301AI46,2301AI47,2301AI48,2301AI49,2301AI50,2301AI51,2301AI52,2301AI53,2301AI54,2301AI55,2301AI56,2301AI57,2301CS01,2301CS02,2301CS03,2301CS04,2301CS05,2301CS06,2301CS07,2301CS08,2301CS09,2301CS10,2301CS11,2301CS12,2301CS13,2301CS14,2301CS15,2301CS16,2301CS17,2301CS18,2301CS19,2301CS20,"
98,21-09-2025,Sunday,Evening,CS1101,LT101,"2501PH33,2501PH34,2501PH35,2501PH36,2501PH37,2501PH38,2502CM01,2502CM02,2502CM03,2502CM04,2502CM05,2502CM06,2502CM07,2502CM08,2502CS01,2502CS02,2502CS03,2502CS04,2502CS05,2502CS06,2502CS07,2502CS08,2502CS09,2502GT01,2502GT02,2502GT03,2502GT04,2502GT06,2502GT09,2502MC01,2502MC02,2502MC03,2502MC04,2502MC05,2502MC06,2502MC07,2502MC08,2502MC10,2502MT01,2502MT02,2502MT03,2502MT04,2502MT05,2502MT06,2502MT07,2502MT08,2502MT09,2502MT10,2502PC01,2502PC02,"
99,21-09-2025,Sunday,Evening,CS3101,LT101,"2301CS21,2301CS22,2301CS23,2301CS24,2301CS25,2301CS26,2301CS27,2301CS28,2301CS29,2301CS30,2301CS31,2301CS32,2301CS33,2301CS34,2301CS35,2301CS36,2301CS37,2301CS38,2301CS39,2301CS40,2301CS41,2301CS42,2301CS43,2301CS44,2301CS45,2301CS46,2301CS47,2301CS48,2301CS49,2301CS50,2301CS51,2301CS52,"
100,21-09-2025,Sunday,Evening,CE6125,LT101,"2421CE16,2422CE10,2511GT01,2511GT04,2511GT05,2511GT06,2511GT07,2511GT08,2511GT09,2511GT10,2511TE02,2511TE03,2511TE04,2511TE05,2511TE06,2511TE07,2511TE08,2521CE02,"
101,21-09-2025,Sunday,Evening,CS1101,LT102,"2502PC03,2502PC04,2502PC05,2502PC06,2502PC07,2502PC08,2502PC09,2502PC10,2502ST01,2502ST02,2502ST03,2502ST04,2502ST05,2502ST06,2502ST07,2502ST08,2502ST09,2502ST10,2502VL01,2502VL02,2502VL03,2502VL04,2502VL06,2502VL07,2502VL08,2502VL09,2502VL10,2503AI01,2503AI02,2503AI03,2503AI04,2503CB01,2503CB02,2503CB03,2503CB04,2503CB05,2503CE01,2503CE02,2503CE03,2503CE04,"
102,21-09-2025,Sunday,Evening,ME3105,LT102,"2302MT01,2302MT02,2302MT03,2302MT04,2302MT05,2302MT06,2302MT07,2302MT08,2302MT09,2303ME01,2303ME02,2303ME03,2303ME04,2303ME05,2303ME06,2303ME07,2303ME08,2303ME09,2303ME10,2303ME11,2303ME12,2303ME13,2303ME14,"
103,21-09-2025,Sunday,Evening,CB5102,LT102,"2511CB01,2511CB02,2511CB03,2511CB05,2511CB07,2511CB08,"
104,21-09-2025,Sunday,Evening,CS3101,LT102,"2301CS53,2301CS54,2301CS55,2301CS56,2301CS57,2301CS58,2301CS59,2301CS60,2301CS61,2301CS63,"
